address,label
d.no 414/11 banjara hills opp. town hall sikar rajasthan 324001,1
252 sector 137 market gurgaon haryana 122001,1
"Flat 83, Electronic City",0
"H No 388, Porur, Begusarai, Bihar 7CADE4",0
"Survey No 193 Sec 32, Bi japur, Karnataka 577001",1
"Flat 5, Vikas Nagar",0
"Flat 14, Vikas Nagar, Sagar",0
Flat 3 Silver Heights Tambaram Chhapra Bihar 800001,1
"H. No. 408/10, Awas Vikas, Behind Mall, Haridwar, Uttarakhand 248001",1
"house no 146-1, satellite, behind post office, alwar, rajasthan 332001",1
Flat 2D4 Silver Heights Alambagh Rajnandgaon Chhattisgarh 495677,1
"H NO 399-31, RAJAJI NAGAR, ERODE, TAMIL NADU 600040",1
"H No 427, MG Road, Rajkot, Rajasthan 301001",0
Near Near Railway Station Kakinada,0
"768001, Sambalpur, Odisha",0
"Flat 32, Banjara Hills, Jalandhar",0
"H. No. 375/3, Andheri West Gurugram, Haryana 132103",1
"Apt No 8, Tulsi Residency, Ambattur, Jaipur, Rajasthan 334001",1
"H. NO. 176-9 MG ROAD, NEAR FLYOVER, CHANDIGARH, CHANDIGARH 160011",1
Unit 13D Sai Krupa Satellite Tirunelveli Tamil Nadu 620001,1
"H No 608, Electronic City, None, Karntaka 58000",0
"p.o. salt lake, dist. pali, rajasthan - 313001",1
Sector 22 Erode,0
flat no 243 Sector 45 Rajkot,0
"Flat 47, Civil Lines, Gaya",0
85 332994,0
"H No 138, Vikas Nagar, Chhapra, Bihar 33A17C",0
Faridabad Kothrud,0
"H No 53, Coimbatore Tamil Nadu Jharkhand 600078",0
5898,0
"H No 137, Gomti Nagar, Ravangla, Sikkim 30EA34",0
"551, INDIRA N AGAR COLONY, PANIPAT, HARYANA 124001",1
flat no 761 Electronic City Chandigarh,0
"Vill Hazratganj, Dist. Surat, Gujarat - 382001",1
Chandigarh 160017,0
"H No 32, Arrah Bihar Karnataka 846001",0
Unit 11D8 Prem Vihar Andheri West Rourkela Odisha 751001,1
house no 508/ whitefield arrah bihar 841301,1
UNIT 54 RADHA KRISHNA SOCIETY BANDRA EAST JABALPUR MADHYA PRA DESH 482001,1
"H No 666, Bandra East, Bhilai, Kerala 695001",0
Flat 17C Prem Vihar Viman Nagar Tiruppur Tamil Nadu 636001,1
f- 17 mahaveer nagar banjara hills jamnagar gujarat 380001,1
Near Near School Allahabad,0
"H No 138, Karol Bagh, Channdigarh, Chaandigarh 60011",0
"KHASRA NO 14, SECTOR 7, VELACHERY, GANGTOK, SIKKIM 737101",1
Whitefield Road Ravangla,0
"Flat 98, Alambagh, Pali",0
KarimganjAssam788710,0
"H No 260, Awas Vikas, Velloe, Tamil Naud 20001",0
F- 6B8 Akash Deep Viman Nagar Lucknow Uttar Pradesh 243001,1
"Flat 20, Porur, Udhampur",0
Unit 6D3 Swastik Heights Cantonment Geyzing Sikkim 737113,1
"H No 293, Bandra East, Jahrsuguda, disha 56100",0
d zfsoxmscgx,0
"Flat 92, Satellite, Allahabad",0
"Plot No 261, Block 2, Satellite, Adilabad, Telangana 500001",1
"Door No 325/36, Alambagh, Chandigarh, Chandigarh 160017",1
"H No 867, Thane West, Karol Bgh, Deli 10085",0
"Khasra No 414, Block 59, Gomti Nagar, Chandigarh, Chandigarh 160036",1
Flat 18A9 Prem Vihar Sector 62 Brahmapur Odisha 768201,1
"111, Sadar Bazar Lane, New Delhi, Delhi 110045",1
"H No 146, Civil Lines, Ranchi, Jharkhand 417099",0
"Plot No 172, Sector 60, Gomti Nagar, Thrissur, Kerala 673001",1
"H No 203, Himayatnagar, Janakpuri, Delhi 341-889",0
F- 18C Ganesh Enclave Koramangala Medininagar Jharkhand 825401,1
H No 536/44 Cantonment Near Railway Statio n Rohtak Haryana 121001,1
apt no 29 saraswati apartments hazratganj brahmapur odisha 757001,1
Unit 1A Ravi Kiran Alambagh Dhamtari Chhattisgarh 491001,1
"Viman Nagar, Hoshiarpur",0
"Survey No 364, Sector 16, T Nagar, Gurgaon, Haryana 121001",1
"127, Satellite Street, Indore, Madhya Pradesh 470001",1
"H. No. 886-29, Gandhi Nagar, Near School, Namchi, Sikkim 737113",1
"Door No 31337, Hazratganj, Behind Mall, Kolhapur, Maharashtra 431001",1
"P.O. Banjara Hills Dist. Chamba, Himachal Pradesh - 171001",1
"Apt 19, Sunrise Apartments, Ambattu r, Davangere, Karnataka 575001",1
D.No 8585 Sadar Bazar Mysore Karnataka 560034,1
"Unit 6C2, Tulsi Residency, Sector 45, Satna, Madhya Pradesh 452001",1
"Plot No 211, Sec 57, Alambagh, Vadodara, Gujarat 361001",1
Unit 18A5 Radha Krishna Society Kothrud Vellore Tamil Nadu 600001,1
"H. No. 368/3, Gomti Nagar, Erode, Tamil Nadu 600002",1
"H No 849, Prahlad Nagar, Saket, Delhi 8977B3",0
"Flat 348, Vikas Nagar, Mahbubnagar, Telangana 50001",0
"Flat 82, Tambaram",0
LucknowUttar Pradesh243001,0
"Survey No 333, Sec 19, Jubilee Hills, Junagadh, Gujarat 382001",1
"H No 48, Begusarai Bihar Uttar Pradesh 841301",0
"902, Vasant Kunj St, Nadiad, Gujarat 390001",1
D.No 330- Nungambakkam Raigarh Chhattisgarh 496001,1
"H No 622, Park Street, Tirupur, Tamill Nadu 36001",0
"760001, Balasore, Odisha",0
"Flat 237, Banjara Hills, Habra, West Bengal 71300",0
"H No 261, Bandra East, Bokao, Jharrkhand 14112",0
"H. No. 697-34, Mahanagar, Ujjain, Madhya Pradesh 452001",1
"Navrangpura, Jammu and Kashmir 190001",0
"Flat 15, Green Valley, Cantonment, Hamirpur, Himachal Pradesh 174303",1
"Plot 200, Block 26, Karol Bagh, Udhampur, Jammu and Kashmir 194101",1
Thrissur Civil Lines,0
"H No 767, Bandra East, aNshik, Maharasshtra 31001",0
F- 11 Prem Viha r Viman Nagar Kharagpur West Bengal 713201,1
"Door No 14435, Porur, Gangtok, Sikkim 737116",1
"H NO 572/, T NAGAR, CUNCOLIM, GOA 403505",1
"H. No. 877, Mahanagar, Jammu, Jammu and Kashmir 180001",1
"H No 320, Lajpat Nagar, Diphu, Assam 3286562",0
"H No 62, Awas Vikas, Rammagundam, Telanganna 07001",0
"H No 963, Satellite, Laxmi aNgar, Dehi 11000",0
"Flat 21D2, Prem Vihar, Ambattur, Sonipat, Haryana 131001",1
"773, Adyar Marg, Vellore, Tamil Nadu 620001",1
"Village Nehru  Nagar, Dist. Satna, Madhya Pradesh - 485001",1
"H. No. 961/7, Sadar Bazar, Rudrapur, Uttarakhand 262501",1
"Village Adyar, Dist. Jorethang, Sikkim - 737132",1
DhamtariChhattisgarh496001,0
"Khasra No 334, Blo ck 57 Adilabad, Telangana 507001",1
flat no 973 Sector 45 Udhampur,0
Unit 7B Prem Vihar Model Town Korba Chhattisgarh 490001,1
"H No 36, Ghaziabad Uttar Pradesh Jharkhand 110096",0
Flat No 13C5 Anand Villa Park Street Kolkata West Bengal 700002,1
"Himayatnagar, Cuncolim",0
"house no 794/14, tambaram, bhilai, chhattisgarh 496001",1
"Survey No 428, Sector 49, Nalgonda, Telangana 500001",1
"Flat 24, Pondur, Silchar",0
"Plot 436, Block 24, Vikas Nagar, Jaipur, Rajasthan 313001",1
Malviya Nagar Kullu,0
"H No 517, Tambaram, Jharsuguda, Odisha 273709",0
37 776996,0
Koramangala Rohtak,0
"Flat 3, Tambaram, Thrissur",0
"p.o. thane west dist. tirunelveli, tamil nadu - 600002",1
Indira Nagar Vasco da Gama,0
"Flat 87, Karol Bagh",0
No. 904- Park Street Udhampur Jammu and Kashmir 184101,1
Diphu 785640,0
"H No 36, Sector 137, Anantapur, Andhra Pradesh 806-789",0
flat no 25d3 radha k rishna society whitefield rohini delhi 110045,1
"Plot No 265, Block 18, Malviya Nagar, Chandigarh, Chandigarh 160022",1
"H No 550, Nehru Nagar, rEode, Tamil Nau 36001",0
42 106962,0
"vill civil lines, dist. dehradun, uttarakhand - 262501",1
"H No 3, Ghaziabad Uttar Pradesh Haryana 201301",0
136 Navrangpura Colony Varanasi Uttar Pradesh 211001,1
571 prahlad nagar road udaipur rajasthan 332001,1
"Flat No 11A, Shanti Niwas, Borivali, Sagar, Madhya Pradesh 486001",1
F- 4C Akash Deep Sector 22 Srinagar Jammu and Kashmir 182101,1
Flat No 21D Akash Deep Sector 22  Canacona Goa 403702,1
f- 143 silver heights prahlad nagar nanded maharashtra 431001,1
Flat No 39 Laxmi Towers Ambattur Meerut Uttar Pradesh 201001,1
"H No 466, Sector 45, Magalore, Karnaaka 90001",0
"330 Anna Nagar Lucknow 282,001",0
Bhopal Jubilee Hills,0
435 Sadar Bazar Avenue Kotdwar Uttarakhand 249201,1
f- 17d ram niwas mulund bhavnagar gujarat 390001,1
"534, BANDRA EAST AVENUE, KARIMGANJ ASSAM 786001",1
"H. No. 617/, Civil Lines, Moga, Punjab 160055",1
"H No 382, Electronic City, Ramnagar, Uttarakhand 5675636",0
"H No 445, Bandra East, Dharamsala, Bihar 823001",0
"H No 27, Aurangabad Maharashtra Madhya Pradesh 411001",0
"449 Rajaji Nagar Bilaspur 173,212",0
Amravati 411028,0
"Flat 90, Awas Vikas, Mangan, Sikkim 73712",0
"P.O. Velachery, Dist. Prayagraj, Uttar Pradesh -  250001",1
"No. 782/16, Sector 45, Pali, Rajasthan 332001",1
"H No 452, Gandhi Nagar",0
"Survey No 319, Block 18, Electronic City, Jharsuguda, Odisha 769001",1
"Awas Vikas, Ramagundam",0
Near Adj. Petrol Pump Moga,0
"H No 701, Lajpat Nagar, Satna, Uttarakhand 263153",0
"H No 427, Indira Nagar, Koci, None 95001",0
"258 T Nagar Karol Bagh 110,085",0
h no 389/ aundh dharamsala himachal pradesh 171001,1
"Vill  MG Road, Dist. Chandigarh, Chandigarh - 160019",1
"H No 168, Nungambakkam, Alappuzha, Kerala 2301",0
Flat 157 Silver Heights Satellite Palakkad Kerala 678001,1
499 kothrud ln aurangabad maharashtra 400003,1
"H No 290, Andheri West, Paalkkad, None 68200",0
"H No 52, Meerut Uttar Pradesh Gujarat 201301",0
"Village Vasant Kunj, Dist. Sikar, Rajasthan - 332001",1
"Fl at No 5B2, Swastik Heights, Gomti Nagar, Gurgaon, Haryana 131001",1
"Plot 165, Sector 19, Adyar Kota, Rajasthan 332001",1
"H No 432, Borivali, Howrah, West Bengal 7842311",0
"H. No. 59 Cantonment, Ponda, Goa 403802",1
"H No 468, Porur, Gangtok, Jharkhand 831001",0
H.No-173 Viman Nagar Coimbatore600002,0
A pt 247 Swastik Heights Vastrapur Janakpuri Delhi 110005,1
"door no 323/17, aundh, cuncolim, goa 403706",1
"H No 484, Sector 45, Salme, TTamil Nadu 00028",0
"H No 575, Gandhi Nagar, Ponda, Madhya Pradesh 462001",0
"H No 938/18, Bandra East, Faridabad Haryana 132103",1
Guntur Vasant Kunj,0
"H No 129, Vikas Nagar, Brahmapur, Chhattisgarh 490001",0
909 AMBATTUR BAZAAR KULLU HIMACHAL PRADESH 176215,1
"No. 542/11, Nehru Nagar, Near Main Market, Mangan, Sikkim 737134",1
871 MG Road Nagar Solan Himachal Pradesh 173212,1
flat no 971 Vikas Nagar Raigarh,0
Vasant Kunj Bazaar Rajnandgaon,0
"H No 662, Ambattur",0
"Gram Nehru Nagar, Dist. Durg, Chhattisgarh - 494001",1
"H No 914, Himayatnagar, Slichar, Assaam 78400",0
"Sector 62, Tirupati",0
"D.No 620, Porur, Madurai, Tamil Nadu 600028",1
149 viman nagar bazaar bikaner rajasthan 313001,1
"179, Satellite Nagar, Thiruvananthapuram, Kerala 676001",1
Borivali Rd Cuttack,0
"H No 669, Karol Bagh, Chennai, Tamil Nau 60007",0
"Flat 15, T Nagar",0
"H No 513, Nehru Nagar, Barippada, Odishha 75300",0
"vill satellite, dist. ramnagar, uttarakhand - 263153",1
"h no 73, gomti nagar, near railway station, jabalpur, madhya pradesh 485001",1
flat no 207 Porur Vellore,0
"Gram Vastrapur, Dist. Medininagar, Jharkhand - 822101",1
"H No 497/16, Electronic City, Faridabad, Haryana 135001",1
"Plot 397, Sector 16, Connaught Place, Palakkad, Kerala 686001",1
"H No 12, Solapur Maharashtra Telangana 411014",0
"H No 47, Malviya Nagar, Lhe, Jmamu and Kashmir 84101",0
"house no 876/, mg road, near city hospital, bangalore karnataka 577001",1
Apt No 18D Sai Krupa Lajpat Nagar Visakhapatnam Andhra Pradesh 522001,1
"H No 63, Gomti Nagar",0
F- 25C8 Green Valley Besant Nagar Hazaribagh Jharkhand 825301,1
"H No 433, Malviya Nagar, Kolata, West BBengal 34001",0
"H No 39, Chandigarh Chandigarh Bihar 160015",0
"Flat 689, Vasant Kunj, Shimla, Himachal Pradesh 1710",0
"F- 12D, Royal Enclave, Besant Nagar, Davangere, Karnataka 590001",1
"Nungambakkam, Ranchi",0
"Flat 855, Rajaji Nagar, Manali, Himachal Pradesh 1762",0
"Cantonment, Assam 781001",0
H.No-157 Himayatnagar Chandigarh160015,0
"H No 15, Kanpur Uttar Pradesh Assam 208001",0
"Amravati, Maharashtra",0
"Door No 58/24,  Sector 62, Bhubaneswar, Odisha 757001",1
f- 25 shiv shakti colony civil lines bareilly uttar pradesh 201001,1
H No 23834 Banjara Hills Darbhanga Bihar 842001,1
Navrangpura Marg Udhampur,0
"Sector 15, Dewas",0
H.No-377 Kothrud Rangpo737134,0
"Flat 706, Salt Lake, Jharsuguda, Odisha 76820",0
F- 12D PREM VIHAR PARK STREET INDORE MADHYA PRADESH 455001,1
Flat 5D4 Radha Krishna Society Awas Vikas Delhi Delhi 110001,1
"P.O. Whitefield, Dist. Rajouri, Jammu and Kashmir - 185131",1
"Jubilee Hills, Himachal Pradesh 175101",0
"Flat 47, Viman Nagar, Thiruvananthapuram",0
"H No 989, Awas Vikas, Warangal, Telangana 4068",0
"Flat 34, Gandhi Nagar",0
964 Kothrud Colony Davangere Karnataka 560068,1
Apt 20A Saraswati Apartments Kothrud Mangalore Karnataka 560034,1
"Flat 39, Sector 45",0
"H No 47, Karimganj Assam Gujarat 786001",0
"Plot No 121, Sec 36, Aundh, Lucknow, Uttar Pradesh 282001",1
Near Opp. Town Hall Vijayawada,0
"305001, Pali, Rajasthan",0
"H No 217, Koramangala, Kakinada, Andhra Pradesh 1705",0
"D.No 530/49, Hazratganj, Rishikesh, Uttarakhand 263139",1
"No. 50937, Cantonment, Kozhikode, Kerala 686001",1
"F- 5, Ravi Kiran, Andheri West, Bathinda, Punjab 143505",1
384672,0
"Apt No 11, Tulsi Residency, Pondur, Madurai, Tamil Nadu 600078",1
Whitefield Dibrugarh,0
RishikeshUttarakhand263139,0
H. No. 136-20 Himayatnagar Vijayawada Andhra Pradesh 520001,1
"D.No 226, MG Road, Near City Hospita l, Shimoga, Karnataka 560001",1
"701, Pondur Road, Gurgaon, Haryana 134001",1
"H No 656, Navrangpura, Darbhanga, Telangana 509001",0
"plot 328, sector 35, howrah, west bengal 713301",1
"230 Porur Solan 175,131",0
"Flat 28, Prahlad Nagar, Haridwar",0
"316, Kora mangala Street, Geyzing, Sikkim 737116",1
"13 Kothrud Kannur 670,001",0
"403505, Margao, Goa",0
"Khasra No 114, Sector 23, Lajpat Nagar, Bicholim, Goa 403601",1
H.No-586 Nungambakkam Bhilai495001,0
"F- 10B, Prem Vihar Lajpat Nagar, Kollam, Kerala 680001",1
"H No 726, Rajaji Nagar, Rourkela, Gujarat 360001",0
"Plot No 13, Sector 33, Lajpat Nagar, Chandigarh, Chandigarh 160001",1
"125001, Hisar, Haryana",0
"VILL AWAS VIKAS DIST. SHIMLA, HIMACHAL PRADESH - 177001",1
"H No 85, Yuksom Sikkim Himachal Pradesh 737113",0
"Vikas Nagar, Bengaluru",0
"H No 965, Tambaram, Panipt, Harana 13210",0
"unit 3d, shanti niwas, mahanagar, muzaffarpur, bihar 811201",1
"Door No 772/1, Alambagh, Tirupati, Andhra Pradesh 524001",1
"House No 347, Kothrud, Korba, Chhattisgarh 497001",1
"p.o. gomti nagar dist. punch, jammu and kashmir - 180001",1
"H No 332, Electronic City, Habra, West Bengal 561285",0
"H No 83, Malda West Bengal Uttar Pradesh 713301",0
"H No 54, Sector 62, Chamba, Himachal Pradesh 868E91",0
Anna Nagar Karol Bagh,0
"FLAT NO 23C, RADHA KRISHNA SOCIETY, ELECTRONIC CITY, MAPUSA, GOA 403507",1
"Flat 269, Vasant Kunj, Chandigarh, Chandigarh 16001",0
"F- 1C5, Silver Heights, Porur Indore, Madhya Pradesh 452001",1
"H. No. 397/26 Thane West, Nanded, Maharashtra 416001",1
flat no 156 Salt Lake Singtam,0
"H No 995, Kothrud",0
"H No 702, Sector 137, Kottayam, Uttarakhand 244713",0
Gandhi Nagar Haridwar,0
"Apt No 22A2, Ganesh Enclave, Sector 22, Margao, Goa 403601",1
H. No. 456-6 Viman Nagar Near City Hospital Guntur Andhra Pradesh 530001,1
"H No 900, Karol Bagh, Eroe, Tamil adu 60000",0
"H No 27, Kottayam Kerala Gujarat 682001",0
"Flat 828, Thane West, Dehradun, Uttarakhand 24766",0
"Flat 18, Sai Krupa, Sector 22, Karimnagar, Telangana 500003",1
682,0
"H No 342, Bandra East, Cuncolim, Goa 944-752",0
"P.O. Adyar, Dist. Puri, Odisha - 769001",1
"PLOT 219, SEC 6, BELGAUM, KARNATAKA 560001",1
523 Banjara Hills Vihar Silchar Assam 786125,1
"956, Hazratganj Road , Yamunanagar, Haryana 132103",1
"UNIT 21, GOLDEN PARK, NUNGAMBAKKAM PANAJI, GOA 403601",1
"H No 524, Rajaji Nagar, Roukrela, Odish 75300",0
47 513124,0
"H No 505, Cantonment, Ambala, Haryana 3945",0
"Flat No 3D2, Laxmi Towers, Malviya Nagar, Brahmapur, Odisha 751001",1
